Date Time,Site Name,Value,Averaging Period,Units,California State Standard,National Ambient Air Quality Standard by U.S. EPA,
7/13/2015 6:00:00 AM,Central Los Angeles,30,1-hr,µg/m3,N/A,N/A,
7/13/2015 7:00:00 AM,Central Los Angeles,16,1-hr,µg/m3,N/A,N/A,
7/13/2015 8:00:00 AM,Central Los Angeles,7,1-hr,µg/m3,N/A,N/A,
7/13/2015 9:00:00 AM,Central Los Angeles,16,1-hr,µg/m3,N/A,N/A,
7/13/2015 10:00:00 AM,Central Los Angeles,18,1-hr,µg/m3,N/A,N/A,
7/13/2015 11:00:00 AM,Central Los Angeles,25,1-hr,µg/m3,N/A,N/A,
7/13/2015 12:00:00 PM,Central Los Angeles,14,1-hr,µg/m3,N/A,N/A,
7/13/2015 1:00:00 PM,Central Los Angeles,9,1-hr,µg/m3,N/A,N/A,
7/13/2015 2:00:00 PM,Central Los Angeles,8,1-hr,µg/m3,N/A,N/A,
7/13/2015 3:00:00 PM,Central Los Angeles,5,1-hr,µg/m3,N/A,N/A,
7/13/2015 4:00:00 PM,Central Los Angeles,5,1-hr,µg/m3,N/A,N/A,
7/13/2015 5:00:00 PM,Central Los Angeles,3,1-hr,µg/m3,N/A,N/A,
7/13/2015 6:00:00 PM,Central Los Angeles,1,1-hr,µg/m3,N/A,N/A,
7/13/2015 7:00:00 PM,Central Los Angeles,6,1-hr,µg/m3,N/A,N/A,
7/13/2015 8:00:00 PM,Central Los Angeles,6,1-hr,µg/m3,N/A,N/A,
7/13/2015 9:00:00 PM,Central Los Angeles,33,1-hr,µg/m3,N/A,N/A,
7/13/2015 10:00:00 PM,Central Los Angeles,10,1-hr,µg/m3,N/A,N/A,
7/13/2015 11:00:00 PM,Central Los Angeles,16,1-hr,µg/m3,N/A,N/A,
7/14/2015 12:00:00 AM,Central Los Angeles,5,1-hr,µg/m3,N/A,N/A,
7/14/2015 1:00:00 AM,Central Los Angeles,2,1-hr,µg/m3,N/A,N/A,
7/14/2015 2:00:00 AM,Central Los Angeles,16,1-hr,µg/m3,N/A,N/A,
7/14/2015 3:00:00 AM,Central Los Angeles,12,1-hr,µg/m3,N/A,N/A,
7/14/2015 4:00:00 AM,Central Los Angeles,31,1-hr,µg/m3,N/A,N/A,
7/14/2015 5:00:00 AM,Central Los Angeles,16,1-hr,µg/m3,N/A,N/A,
7/14/2015 6:00:00 AM,Central Los Angeles,16,1-hr,µg/m3,N/A,N/A,
7/14/2015 7:00:00 AM,Central Los Angeles,16,1-hr,µg/m3,N/A,N/A,
7/14/2015 8:00:00 AM,Central Los Angeles,22,1-hr,µg/m3,N/A,N/A,
7/14/2015 9:00:00 AM,Central Los Angeles,21,1-hr,µg/m3,N/A,N/A,
7/14/2015 10:00:00 AM,Central Los Angeles,20,1-hr,µg/m3,N/A,N/A,
7/14/2015 11:00:00 AM,Central Los Angeles,22,1-hr,µg/m3,N/A,N/A,
7/14/2015 12:00:00 PM,Central Los Angeles,15,1-hr,µg/m3,N/A,N/A,
7/14/2015 1:00:00 PM,Central Los Angeles,17,1-hr,µg/m3,N/A,N/A,
7/14/2015 2:00:00 PM,Central Los Angeles,13,1-hr,µg/m3,N/A,N/A,
7/14/2015 3:00:00 PM,Central Los Angeles,13,1-hr,µg/m3,N/A,N/A,
7/14/2015 4:00:00 PM,Central Los Angeles,8,1-hr,µg/m3,N/A,N/A,
7/14/2015 5:00:00 PM,Central Los Angeles,4,1-hr,µg/m3,N/A,N/A,
7/14/2015 6:00:00 PM,Central Los Angeles,9,1-hr,µg/m3,N/A,N/A,
7/14/2015 7:00:00 PM,Central Los Angeles,17,1-hr,µg/m3,N/A,N/A,
7/14/2015 8:00:00 PM,Central Los Angeles,13,1-hr,µg/m3,N/A,N/A,
7/14/2015 9:00:00 PM,Central Los Angeles,14,1-hr,µg/m3,N/A,N/A,
7/14/2015 10:00:00 PM,Central Los Angeles,19,1-hr,µg/m3,N/A,N/A,
7/14/2015 11:00:00 PM,Central Los Angeles,34,1-hr,µg/m3,N/A,N/A,
7/15/2015 12:00:00 AM,Central Los Angeles,11,1-hr,µg/m3,N/A,N/A,
7/15/2015 1:00:00 AM,Central Los Angeles,14,1-hr,µg/m3,N/A,N/A,
7/15/2015 2:00:00 AM,Central Los Angeles,21,1-hr,µg/m3,N/A,N/A,
7/15/2015 3:00:00 AM,Central Los Angeles,11,1-hr,µg/m3,N/A,N/A,
7/15/2015 4:00:00 AM,Central Los Angeles,9,1-hr,µg/m3,N/A,N/A,
7/15/2015 5:00:00 AM,Central Los Angeles,16,1-hr,µg/m3,N/A,N/A,
7/15/2015 6:00:00 AM,Central Los Angeles,19,1-hr,µg/m3,N/A,N/A,
7/15/2015 7:00:00 AM,Central Los Angeles,17,1-hr,µg/m3,N/A,N/A,
7/15/2015 8:00:00 AM,Central Los Angeles,29,1-hr,µg/m3,N/A,N/A,
7/15/2015 9:00:00 AM,Central Los Angeles,28,1-hr,µg/m3,N/A,N/A,
7/15/2015 10:00:00 AM,Central Los Angeles,16,1-hr,µg/m3,N/A,N/A,
7/15/2015 11:00:00 AM,Central Los Angeles,20,1-hr,µg/m3,N/A,N/A,
7/15/2015 12:00:00 PM,Central Los Angeles,14,1-hr,µg/m3,N/A,N/A,
7/15/2015 1:00:00 PM,Central Los Angeles,10,1-hr,µg/m3,N/A,N/A,
7/15/2015 2:00:00 PM,Central Los Angeles,14,1-hr,µg/m3,N/A,N/A,
7/15/2015 3:00:00 PM,Central Los Angeles,17,1-hr,µg/m3,N/A,N/A,
7/15/2015 4:00:00 PM,Central Los Angeles,13,1-hr,µg/m3,N/A,N/A,
7/15/2015 5:00:00 PM,Central Los Angeles,4,1-hr,µg/m3,N/A,N/A,
7/15/2015 6:00:00 PM,Central Los Angeles,18,1-hr,µg/m3,N/A,N/A,
7/15/2015 7:00:00 PM,Central Los Angeles,9,1-hr,µg/m3,N/A,N/A,
7/15/2015 8:00:00 PM,Central Los Angeles,14,1-hr,µg/m3,N/A,N/A,
7/15/2015 9:00:00 PM,Central Los Angeles,26,1-hr,µg/m3,N/A,N/A,
7/15/2015 10:00:00 PM,Central Los Angeles,7,1-hr,µg/m3,N/A,N/A,
7/15/2015 11:00:00 PM,Central Los Angeles,17,1-hr,µg/m3,N/A,N/A,
7/16/2015 12:00:00 AM,Central Los Angeles,21,1-hr,µg/m3,N/A,N/A,
7/16/2015 1:00:00 AM,Central Los Angeles,21,1-hr,µg/m3,N/A,N/A,
7/16/2015 2:00:00 AM,Central Los Angeles,25,1-hr,µg/m3,N/A,N/A,
7/16/2015 3:00:00 AM,Central Los Angeles,17,1-hr,µg/m3,N/A,N/A,
7/16/2015 4:00:00 AM,Central Los Angeles,22,1-hr,µg/m3,N/A,N/A,
7/16/2015 5:00:00 AM,Central Los Angeles,11,1-hr,µg/m3,N/A,N/A,
7/16/2015 6:00:00 AM,Central Los Angeles,25,1-hr,µg/m3,N/A,N/A,
7/16/2015 7:00:00 AM,Central Los Angeles,26,1-hr,µg/m3,N/A,N/A,
7/16/2015 8:00:00 AM,Central Los Angeles,23,1-hr,µg/m3,N/A,N/A,
7/16/2015 9:00:00 AM,Central Los Angeles,21,1-hr,µg/m3,N/A,N/A,
7/16/2015 10:00:00 AM,Central Los Angeles,21,1-hr,µg/m3,N/A,N/A,
7/16/2015 11:00:00 AM,Central Los Angeles,21,1-hr,µg/m3,N/A,N/A,
7/16/2015 12:00:00 PM,Central Los Angeles,21,1-hr,µg/m3,N/A,N/A,
7/16/2015 1:00:00 PM,Central Los Angeles,15,1-hr,µg/m3,N/A,N/A,
7/16/2015 2:00:00 PM,Central Los Angeles,16,1-hr,µg/m3,N/A,N/A,
7/16/2015 3:00:00 PM,Central Los Angeles,2,1-hr,µg/m3,N/A,N/A,
7/16/2015 4:00:00 PM,Central Los Angeles,4,1-hr,µg/m3,N/A,N/A,
7/16/2015 5:00:00 PM,Central Los Angeles,18,1-hr,µg/m3,N/A,N/A,
7/16/2015 6:00:00 PM,Central Los Angeles,15,1-hr,µg/m3,N/A,N/A,
7/16/2015 7:00:00 PM,Central Los Angeles,21,1-hr,µg/m3,N/A,N/A,
7/16/2015 8:00:00 PM,Central Los Angeles,14,1-hr,µg/m3,N/A,N/A,
7/16/2015 9:00:00 PM,Central Los Angeles,20,1-hr,µg/m3,N/A,N/A,
7/16/2015 10:00:00 PM,Central Los Angeles,14,1-hr,µg/m3,N/A,N/A,
7/16/2015 11:00:00 PM,Central Los Angeles,22,1-hr,µg/m3,N/A,N/A,
7/17/2015 12:00:00 AM,Central Los Angeles,10,1-hr,µg/m3,N/A,N/A,
7/17/2015 1:00:00 AM,Central Los Angeles,11,1-hr,µg/m3,N/A,N/A,
7/17/2015 2:00:00 AM,Central Los Angeles,17,1-hr,µg/m3,N/A,N/A,
7/17/2015 3:00:00 AM,Central Los Angeles,18,1-hr,µg/m3,N/A,N/A,
7/17/2015 4:00:00 AM,Central Los Angeles,15,1-hr,µg/m3,N/A,N/A,
7/17/2015 5:00:00 AM,Central Los Angeles,17,1-hr,µg/m3,N/A,N/A,
7/17/2015 6:00:00 AM,Central Los Angeles,26,1-hr,µg/m3,N/A,N/A,
7/17/2015 7:00:00 AM,Central Los Angeles,26,1-hr,µg/m3,N/A,N/A,
7/17/2015 8:00:00 AM,Central Los Angeles,26,1-hr,µg/m3,N/A,N/A,
7/17/2015 9:00:00 AM,Central Los Angeles,31,1-hr,µg/m3,N/A,N/A,
7/17/2015 10:00:00 AM,Central Los Angeles,31,1-hr,µg/m3,N/A,N/A,
7/17/2015 11:00:00 AM,Central Los Angeles,32,1-hr,µg/m3,N/A,N/A,
7/17/2015 12:00:00 PM,Central Los Angeles,16,1-hr,µg/m3,N/A,N/A,
7/17/2015 1:00:00 PM,Central Los Angeles,15,1-hr,µg/m3,N/A,N/A,
7/17/2015 2:00:00 PM,Central Los Angeles,17,1-hr,µg/m3,N/A,N/A,
7/17/2015 3:00:00 PM,Central Los Angeles,16,1-hr,µg/m3,N/A,N/A,
7/17/2015 4:00:00 PM,Central Los Angeles,4,1-hr,µg/m3,N/A,N/A,
7/17/2015 5:00:00 PM,Central Los Angeles,19,1-hr,µg/m3,N/A,N/A,
7/17/2015 6:00:00 PM,Central Los Angeles,11,1-hr,µg/m3,N/A,N/A,
7/17/2015 7:00:00 PM,Central Los Angeles,17,1-hr,µg/m3,N/A,N/A,
7/17/2015 8:00:00 PM,Central Los Angeles,1,1-hr,µg/m3,N/A,N/A,
7/17/2015 9:00:00 PM,Central Los Angeles,21,1-hr,µg/m3,N/A,N/A,
7/17/2015 10:00:00 PM,Central Los Angeles,20,1-hr,µg/m3,N/A,N/A,
7/17/2015 11:00:00 PM,Central Los Angeles,18,1-hr,µg/m3,N/A,N/A,
7/18/2015 12:00:00 AM,Central Los Angeles,15,1-hr,µg/m3,N/A,N/A,
7/18/2015 1:00:00 AM,Central Los Angeles,10,1-hr,µg/m3,N/A,N/A,
7/18/2015 2:00:00 AM,Central Los Angeles,15,1-hr,µg/m3,N/A,N/A,
7/18/2015 3:00:00 AM,Central Los Angeles,15,1-hr,µg/m3,N/A,N/A,
7/18/2015 4:00:00 AM,Central Los Angeles,24,1-hr,µg/m3,N/A,N/A,
7/18/2015 5:00:00 AM,Central Los Angeles,14,1-hr,µg/m3,N/A,N/A,
7/18/2015 6:00:00 AM,Central Los Angeles,7,1-hr,µg/m3,N/A,N/A,
7/18/2015 7:00:00 AM,Central Los Angeles,27,1-hr,µg/m3,N/A,N/A,
7/18/2015 8:00:00 AM,Central Los Angeles,37,1-hr,µg/m3,N/A,N/A,
7/18/2015 9:00:00 AM,Central Los Angeles,21,1-hr,µg/m3,N/A,N/A,
7/18/2015 10:00:00 AM,Central Los Angeles,0,1-hr,µg/m3,N/A,N/A,
7/18/2015 11:00:00 AM,Central Los Angeles,0,1-hr,µg/m3,N/A,N/A,
7/18/2015 12:00:00 PM,Central Los Angeles,6,1-hr,µg/m3,N/A,N/A,
7/18/2015 1:00:00 PM,Central Los Angeles,14,1-hr,µg/m3,N/A,N/A,
7/18/2015 2:00:00 PM,Central Los Angeles,31,1-hr,µg/m3,N/A,N/A,
7/18/2015 3:00:00 PM,Central Los Angeles,12,1-hr,µg/m3,N/A,N/A,
7/18/2015 4:00:00 PM,Central Los Angeles,12,1-hr,µg/m3,N/A,N/A,
7/18/2015 5:00:00 PM,Central Los Angeles,13,1-hr,µg/m3,N/A,N/A,
7/18/2015 6:00:00 PM,Central Los Angeles,19,1-hr,µg/m3,N/A,N/A,
7/18/2015 7:00:00 PM,Central Los Angeles,21,1-hr,µg/m3,N/A,N/A,
7/18/2015 8:00:00 PM,Central Los Angeles,22,1-hr,µg/m3,N/A,N/A,
7/18/2015 9:00:00 PM,Central Los Angeles,25,1-hr,µg/m3,N/A,N/A,
7/18/2015 10:00:00 PM,Central Los Angeles,18,1-hr,µg/m3,N/A,N/A,
7/18/2015 11:00:00 PM,Central Los Angeles,23,1-hr,µg/m3,N/A,N/A,
7/19/2015 12:00:00 AM,Central Los Angeles,16,1-hr,µg/m3,N/A,N/A,
7/19/2015 1:00:00 AM,Central Los Angeles,2,1-hr,µg/m3,N/A,N/A,
7/19/2015 2:00:00 AM,Central Los Angeles,20,1-hr,µg/m3,N/A,N/A,
7/19/2015 3:00:00 AM,Central Los Angeles,21,1-hr,µg/m3,N/A,N/A,
7/19/2015 4:00:00 AM,Central Los Angeles,15,1-hr,µg/m3,N/A,N/A,
7/19/2015 5:00:00 AM,Central Los Angeles,11,1-hr,µg/m3,N/A,N/A,
7/19/2015 6:00:00 AM,Central Los Angeles,24,1-hr,µg/m3,N/A,N/A,
7/19/2015 7:00:00 AM,Central Los Angeles,12,1-hr,µg/m3,N/A,N/A,
7/19/2015 8:00:00 AM,Central Los Angeles,2,1-hr,µg/m3,N/A,N/A,
7/19/2015 9:00:00 AM,Central Los Angeles,14,1-hr,µg/m3,N/A,N/A,
7/19/2015 10:00:00 AM,Central Los Angeles,22,1-hr,µg/m3,N/A,N/A,
7/19/2015 11:00:00 AM,Central Los Angeles,18,1-hr,µg/m3,N/A,N/A,
7/19/2015 12:00:00 PM,Central Los Angeles,16,1-hr,µg/m3,N/A,N/A,
7/19/2015 1:00:00 PM,Central Los Angeles,14,1-hr,µg/m3,N/A,N/A,
7/19/2015 2:00:00 PM,Central Los Angeles,11,1-hr,µg/m3,N/A,N/A,
7/19/2015 3:00:00 PM,Central Los Angeles,11,1-hr,µg/m3,N/A,N/A,
7/19/2015 4:00:00 PM,Central Los Angeles,23,1-hr,µg/m3,N/A,N/A,
7/19/2015 5:00:00 PM,Central Los Angeles,8,1-hr,µg/m3,N/A,N/A,
7/19/2015 6:00:00 PM,Central Los Angeles,9,1-hr,µg/m3,N/A,N/A,
7/19/2015 7:00:00 PM,Central Los Angeles,10,1-hr,µg/m3,N/A,N/A,
7/19/2015 8:00:00 PM,Central Los Angeles,7,1-hr,µg/m3,N/A,N/A,
7/19/2015 9:00:00 PM,Central Los Angeles,28,1-hr,µg/m3,N/A,N/A,
7/19/2015 10:00:00 PM,Central Los Angeles,18,1-hr,µg/m3,N/A,N/A,
7/19/2015 11:00:00 PM,Central Los Angeles,0,1-hr,µg/m3,N/A,N/A,
7/20/2015 12:00:00 AM,Central Los Angeles,23,1-hr,µg/m3,N/A,N/A,
7/20/2015 1:00:00 AM,Central Los Angeles,12,1-hr,µg/m3,N/A,N/A,
7/20/2015 2:00:00 AM,Central Los Angeles,10,1-hr,µg/m3,N/A,N/A,
7/20/2015 3:00:00 AM,Central Los Angeles,14,1-hr,µg/m3,N/A,N/A,
7/20/2015 4:00:00 AM,Central Los Angeles,10,1-hr,µg/m3,N/A,N/A,
7/20/2015 5:00:00 AM,Central Los Angeles,20,1-hr,µg/m3,N/A,N/A,
7/20/2015 6:00:00 AM,Central Los Angeles,12,1-hr,µg/m3,N/A,N/A,
7/20/2015 7:00:00 AM,Central Los Angeles,15,1-hr,µg/m3,N/A,N/A,
7/20/2015 8:00:00 AM,Central Los Angeles,31,1-hr,µg/m3,N/A,N/A,
7/20/2015 9:00:00 AM,Central Los Angeles,11,1-hr,µg/m3,N/A,N/A,
7/20/2015 10:00:00 AM,Central Los Angeles,11,1-hr,µg/m3,N/A,N/A,
7/20/2015 11:00:00 AM,Central Los Angeles,9,1-hr,µg/m3,N/A,N/A,
7/20/2015 12:00:00 PM,Central Los Angeles,17,1-hr,µg/m3,N/A,N/A,
7/20/2015 1:00:00 PM,Central Los Angeles,15,1-hr,µg/m3,N/A,N/A,
7/20/2015 2:00:00 PM,Central Los Angeles,10,1-hr,µg/m3,N/A,N/A,
7/20/2015 3:00:00 PM,Central Los Angeles,10,1-hr,µg/m3,N/A,N/A,
7/20/2015 4:00:00 PM,Central Los Angeles,10,1-hr,µg/m3,N/A,N/A,
7/20/2015 5:00:00 PM,Central Los Angeles,7,1-hr,µg/m3,N/A,N/A,
7/20/2015 6:00:00 PM,Central Los Angeles,7,1-hr,µg/m3,N/A,N/A,
7/20/2015 7:00:00 PM,Central Los Angeles,10,1-hr,µg/m3,N/A,N/A,
7/20/2015 8:00:00 PM,Central Los Angeles,13,1-hr,µg/m3,N/A,N/A,
7/20/2015 9:00:00 PM,Central Los Angeles,11,1-hr,µg/m3,N/A,N/A,
7/20/2015 10:00:00 PM,Central Los Angeles,6,1-hr,µg/m3,N/A,N/A,
7/20/2015 11:00:00 PM,Central Los Angeles,7,1-hr,µg/m3,N/A,N/A,
7/21/2015 12:00:00 AM,Central Los Angeles,14,1-hr,µg/m3,N/A,N/A,
7/21/2015 1:00:00 AM,Central Los Angeles,17,1-hr,µg/m3,N/A,N/A,
7/21/2015 2:00:00 AM,Central Los Angeles,17,1-hr,µg/m3,N/A,N/A,
7/21/2015 3:00:00 AM,Central Los Angeles,12,1-hr,µg/m3,N/A,N/A,
7/21/2015 4:00:00 AM,Central Los Angeles,10,1-hr,µg/m3,N/A,N/A,
7/21/2015 5:00:00 AM,Central Los Angeles,11,1-hr,µg/m3,N/A,N/A,
7/21/2015 6:00:00 AM,Central Los Angeles,0,1-hr,µg/m3,N/A,N/A,
7/21/2015 7:00:00 AM,Central Los Angeles,0,1-hr,µg/m3,N/A,N/A,
7/21/2015 9:00:00 AM,Central Los Angeles,16,1-hr,µg/m3,N/A,N/A,
7/21/2015 10:00:00 AM,Central Los Angeles,10,1-hr,µg/m3,N/A,N/A,
7/21/2015 11:00:00 AM,Central Los Angeles,10,1-hr,µg/m3,N/A,N/A,
7/21/2015 12:00:00 PM,Central Los Angeles,16,1-hr,µg/m3,N/A,N/A,
7/21/2015 1:00:00 PM,Central Los Angeles,13,1-hr,µg/m3,N/A,N/A,
7/21/2015 2:00:00 PM,Central Los Angeles,8,1-hr,µg/m3,N/A,N/A,
7/21/2015 3:00:00 PM,Central Los Angeles,3,1-hr,µg/m3,N/A,N/A,
7/21/2015 4:00:00 PM,Central Los Angeles,7,1-hr,µg/m3,N/A,N/A,
7/21/2015 5:00:00 PM,Central Los Angeles,9,1-hr,µg/m3,N/A,N/A,
7/21/2015 6:00:00 PM,Central Los Angeles,7,1-hr,µg/m3,N/A,N/A,
7/21/2015 7:00:00 PM,Central Los Angeles,6,1-hr,µg/m3,N/A,N/A,
7/21/2015 8:00:00 PM,Central Los Angeles,5,1-hr,µg/m3,N/A,N/A,
7/21/2015 9:00:00 PM,Central Los Angeles,14,1-hr,µg/m3,N/A,N/A,
7/21/2015 10:00:00 PM,Central Los Angeles,9,1-hr,µg/m3,N/A,N/A,
7/21/2015 11:00:00 PM,Central Los Angeles,10,1-hr,µg/m3,N/A,N/A,
7/22/2015 12:00:00 AM,Central Los Angeles,9,1-hr,µg/m3,N/A,N/A,
7/22/2015 1:00:00 AM,Central Los Angeles,15,1-hr,µg/m3,N/A,N/A,
7/22/2015 2:00:00 AM,Central Los Angeles,10,1-hr,µg/m3,N/A,N/A,
7/22/2015 3:00:00 AM,Central Los Angeles,14,1-hr,µg/m3,N/A,N/A,
7/22/2015 4:00:00 AM,Central Los Angeles,4,1-hr,µg/m3,N/A,N/A,
7/22/2015 5:00:00 AM,Central Los Angeles,8,1-hr,µg/m3,N/A,N/A,
7/22/2015 6:00:00 AM,Central Los Angeles,21,1-hr,µg/m3,N/A,N/A,
7/22/2015 7:00:00 AM,Central Los Angeles,5,1-hr,µg/m3,N/A,N/A,
7/22/2015 8:00:00 AM,Central Los Angeles,6,1-hr,µg/m3,N/A,N/A,
7/22/2015 9:00:00 AM,Central Los Angeles,9,1-hr,µg/m3,N/A,N/A,
7/22/2015 10:00:00 AM,Central Los Angeles,22,1-hr,µg/m3,N/A,N/A,
7/22/2015 11:00:00 AM,Central Los Angeles,11,1-hr,µg/m3,N/A,N/A,
7/22/2015 12:00:00 PM,Central Los Angeles,7,1-hr,µg/m3,N/A,N/A,
7/22/2015 1:00:00 PM,Central Los Angeles,15,1-hr,µg/m3,N/A,N/A,
7/22/2015 2:00:00 PM,Central Los Angeles,11,1-hr,µg/m3,N/A,N/A,
7/22/2015 3:00:00 PM,Central Los Angeles,8,1-hr,µg/m3,N/A,N/A,
7/22/2015 4:00:00 PM,Central Los Angeles,5,1-hr,µg/m3,N/A,N/A,
7/22/2015 5:00:00 PM,Central Los Angeles,7,1-hr,µg/m3,N/A,N/A,
7/22/2015 6:00:00 PM,Central Los Angeles,4,1-hr,µg/m3,N/A,N/A,
7/22/2015 7:00:00 PM,Central Los Angeles,1,1-hr,µg/m3,N/A,N/A,
7/22/2015 8:00:00 PM,Central Los Angeles,16,1-hr,µg/m3,N/A,N/A,
7/22/2015 9:00:00 PM,Central Los Angeles,22,1-hr,µg/m3,N/A,N/A,
7/22/2015 10:00:00 PM,Central Los Angeles,5,1-hr,µg/m3,N/A,N/A,
7/22/2015 11:00:00 PM,Central Los Angeles,10,1-hr,µg/m3,N/A,N/A,
7/23/2015 12:00:00 AM,Central Los Angeles,8,1-hr,µg/m3,N/A,N/A,
7/23/2015 1:00:00 AM,Central Los Angeles,7,1-hr,µg/m3,N/A,N/A,
7/23/2015 2:00:00 AM,Central Los Angeles,7,1-hr,µg/m3,N/A,N/A,
7/23/2015 3:00:00 AM,Central Los Angeles,5,1-hr,µg/m3,N/A,N/A,
7/23/2015 4:00:00 AM,Central Los Angeles,7,1-hr,µg/m3,N/A,N/A,
7/23/2015 5:00:00 AM,Central Los Angeles,14,1-hr,µg/m3,N/A,N/A,
7/23/2015 6:00:00 AM,Central Los Angeles,9,1-hr,µg/m3,N/A,N/A,
7/23/2015 7:00:00 AM,Central Los Angeles,18,1-hr,µg/m3,N/A,N/A,
7/23/2015 8:00:00 AM,Central Los Angeles,14,1-hr,µg/m3,N/A,N/A,
7/23/2015 9:00:00 AM,Central Los Angeles,13,1-hr,µg/m3,N/A,N/A,
7/23/2015 10:00:00 AM,Central Los Angeles,34,1-hr,µg/m3,N/A,N/A,
7/23/2015 11:00:00 AM,Central Los Angeles,26,1-hr,µg/m3,N/A,N/A,
7/23/2015 12:00:00 PM,Central Los Angeles,16,1-hr,µg/m3,N/A,N/A,
7/23/2015 1:00:00 PM,Central Los Angeles,18,1-hr,µg/m3,N/A,N/A,
7/23/2015 2:00:00 PM,Central Los Angeles,10,1-hr,µg/m3,N/A,N/A,
7/23/2015 3:00:00 PM,Central Los Angeles,11,1-hr,µg/m3,N/A,N/A,
7/23/2015 4:00:00 PM,Central Los Angeles,14,1-hr,µg/m3,N/A,N/A,
7/23/2015 5:00:00 PM,Central Los Angeles,9,1-hr,µg/m3,N/A,N/A,
7/23/2015 6:00:00 PM,Central Los Angeles,14,1-hr,µg/m3,N/A,N/A,
7/23/2015 7:00:00 PM,Central Los Angeles,20,1-hr,µg/m3,N/A,N/A,
7/23/2015 8:00:00 PM,Central Los Angeles,24,1-hr,µg/m3,N/A,N/A,
7/23/2015 9:00:00 PM,Central Los Angeles,23,1-hr,µg/m3,N/A,N/A,
7/23/2015 10:00:00 PM,Central Los Angeles,15,1-hr,µg/m3,N/A,N/A,
7/23/2015 11:00:00 PM,Central Los Angeles,17,1-hr,µg/m3,N/A,N/A,
7/24/2015 12:00:00 AM,Central Los Angeles,14,1-hr,µg/m3,N/A,N/A,
7/24/2015 1:00:00 AM,Central Los Angeles,12,1-hr,µg/m3,N/A,N/A,
7/24/2015 2:00:00 AM,Central Los Angeles,10,1-hr,µg/m3,N/A,N/A,
7/24/2015 3:00:00 AM,Central Los Angeles,10,1-hr,µg/m3,N/A,N/A,
7/24/2015 4:00:00 AM,Central Los Angeles,15,1-hr,µg/m3,N/A,N/A,
7/24/2015 5:00:00 AM,Central Los Angeles,19,1-hr,µg/m3,N/A,N/A,
7/24/2015 6:00:00 AM,Central Los Angeles,21,1-hr,µg/m3,N/A,N/A,
7/24/2015 7:00:00 AM,Central Los Angeles,30,1-hr,µg/m3,N/A,N/A,
7/24/2015 8:00:00 AM,Central Los Angeles,0,1-hr,µg/m3,N/A,N/A,
7/24/2015 9:00:00 AM,Central Los Angeles,0,1-hr,µg/m3,N/A,N/A,
7/24/2015 10:00:00 AM,Central Los Angeles,0,1-hr,µg/m3,N/A,N/A,
7/24/2015 11:00:00 AM,Central Los Angeles,0,1-hr,µg/m3,N/A,N/A,
7/24/2015 12:00:00 PM,Central Los Angeles,0,1-hr,µg/m3,N/A,N/A,
7/24/2015 1:00:00 PM,Central Los Angeles,0,1-hr,µg/m3,N/A,N/A,
7/24/2015 2:00:00 PM,Central Los Angeles,0,1-hr,µg/m3,N/A,N/A,
7/24/2015 3:00:00 PM,Central Los Angeles,0,1-hr,µg/m3,N/A,N/A,
7/24/2015 4:00:00 PM,Central Los Angeles,0,1-hr,µg/m3,N/A,N/A,
7/24/2015 5:00:00 PM,Central Los Angeles,0,1-hr,µg/m3,N/A,N/A,
7/24/2015 6:00:00 PM,Central Los Angeles,0,1-hr,µg/m3,N/A,N/A,
7/24/2015 7:00:00 PM,Central Los Angeles,0,1-hr,µg/m3,N/A,N/A,
7/24/2015 8:00:00 PM,Central Los Angeles,0,1-hr,µg/m3,N/A,N/A,
7/24/2015 9:00:00 PM,Central Los Angeles,0,1-hr,µg/m3,N/A,N/A,
7/24/2015 10:00:00 PM,Central Los Angeles,0,1-hr,µg/m3,N/A,N/A,
7/24/2015 11:00:00 PM,Central Los Angeles,0,1-hr,µg/m3,N/A,N/A,
7/25/2015 12:00:00 AM,Central Los Angeles,0,1-hr,µg/m3,N/A,N/A,
7/25/2015 2:00:00 AM,Central Los Angeles,0,1-hr,µg/m3,N/A,N/A,
7/25/2015 3:00:00 AM,Central Los Angeles,0,1-hr,µg/m3,N/A,N/A,
7/25/2015 4:00:00 AM,Central Los Angeles,0,1-hr,µg/m3,N/A,N/A,
7/25/2015 5:00:00 AM,Central Los Angeles,0,1-hr,µg/m3,N/A,N/A,
7/25/2015 6:00:00 AM,Central Los Angeles,0,1-hr,µg/m3,N/A,N/A,
7/25/2015 7:00:00 AM,Central Los Angeles,0,1-hr,µg/m3,N/A,N/A,
7/25/2015 9:00:00 AM,Central Los Angeles,0,1-hr,µg/m3,N/A,N/A,
7/25/2015 10:00:00 AM,Central Los Angeles,0,1-hr,µg/m3,N/A,N/A,
7/25/2015 11:00:00 AM,Central Los Angeles,0,1-hr,µg/m3,N/A,N/A,
7/25/2015 12:00:00 PM,Central Los Angeles,0,1-hr,µg/m3,N/A,N/A,
7/25/2015 1:00:00 PM,Central Los Angeles,0,1-hr,µg/m3,N/A,N/A,
7/25/2015 2:00:00 PM,Central Los Angeles,0,1-hr,µg/m3,N/A,N/A,
7/25/2015 3:00:00 PM,Central Los Angeles,0,1-hr,µg/m3,N/A,N/A,
7/25/2015 4:00:00 PM,Central Los Angeles,0,1-hr,µg/m3,N/A,N/A,
